stt,project_id,project_name,district,latitude,longitude,developer,handover_status,handover_year,is_handed_over,price_min_mil_m2,price_max_mil_m2,price_avg_mil_m2,area_min_m2,area_max_m2,layout_types,mgmt_fee_vnd_m2,amenities,payment_policy,grace_period_months,inventory_link,updated_at,risk_note
11,PRJ_11,Lumiere Essence Peak,Đông Anh,21.105,105.846,Masterise Homes,Đang mở bán,2027,False,124.0,190.0,157.0,40.0,150.0,1PN - 3PN,25000,"Bể bơi khoáng nóng Onsen, TTTM, Công viên",Chiết khấu 9% thanh toán sớm; Miễn 3 năm phí QL,24,sheets.link/lep-cl,2026-08-24,Phân khu Onsen cao cấp nhất Global Gate
12,PRJ_12,Lumiere Prime Hills,Đông Anh,21.106,105.844,Masterise Homes,Đang mở bán,2027,False,95.0,145.0,120.0,25.0,83.0,Studio - 3PN,25000,"Hồ bơi 4 mùa, Sky Bar, Trường học, Siêu thị","HTLS 0% trong 24 tháng, thanh toán theo đợt 10%",24,sheets.link/lph-cl,2026-08-24,Thuộc Vinhomes Global Gate Cổ Loa
13,PRJ_13,Lumi Hanoi,Nam Từ Liêm,21.011,105.75,CapitaLand,Đang mở bán,2026,False,66.0,95.0,80.5,42.0,117.0,1PN - 3PN,15000,"Công viên cảnh quan 2.4ha, Bể bơi, Cầu đi bộ",Đóng 20% ký HĐMB; Thanh toán giãn 50% đến bàn giao,18,sheets.link/lumihn,2026-08-25,Tiến độ thanh toán cực giãn
14,PRJ_14,Masteri Sky Quarter,Đan Phượng,21.101,105.688,Masterise Homes,Đang mở bán,2027,False,60.0,85.0,72.5,30.0,110.0,Studio - 3PN,20000,"Tổ hợp tiện ích liên hoàn, Bể bơi, Trường học",Chiết khấu 7% khi thanh toán chuẩn; HTLS 0%,24,sheets.link/msq-dp,2026-08-23,Khu vực Tây Bắc Hà Nội
15,PRJ_15,Hausman Premium Res.,Nam Từ Liêm,20.995,105.755,FLC Group,Đang hoàn thiện,2026,False,80.0,100.0,90.0,55.0,120.0,1PN - 3PN,12000,"Bể bơi 4 mùa, Clubhouse, Phong cách Paris",Thanh toán chia nhỏ theo tiến độ thực tế,0,sheets.link/hausman,2026-08-10,Cảnh báo rủi ro tiến độ/pháp lý CĐT
16,PRJ_16,Noble West Lake,Tây Hồ,21.085,105.805,Sunshine / Noble,Đang mở bán,2027,False,150.0,230.0,190.0,80.0,250.0,2PN - 4PN,25000,"Biệt thự trên không Sky Villa, Smart Living",Chiết khấu 10% gói Early Bird; Ân hạn nợ gốc,24,sheets.link/noble-wl,2026-08-24,Dòng sản phẩm cao cấp Sky Villa
17,PRJ_17,Celestine Westlake,Tây Hồ,21.066,105.806,Sunshine Group,Đang mở bán,2026,False,145.0,200.0,172.5,53.0,360.0,2PN - 4PN,20000,"Bể bơi trên cao, Sân golf mini, Siêu thị","Thanh toán 30% nhận nhà, ngân hàng giải ngân 70%",18,sheets.link/celestine,2026-08-17,Căn hộ view trực diện Hồ Tây
18,PRJ_18,Sun Feliza Suites,Cầu Giấy,21.036,105.781,Sun Group,Đang mở bán,2027,False,130.0,181.0,155.5,60.0,150.0,1PN - 3PN,22000,"Vườn Ngũ Phúc, Bể bơi, Dịch vụ quản lý Sun Property",Chiết khấu 9% thanh toán sớm; HTLS 0% 24 tháng,24,sheets.link/sun-feliza,2026-08-26,Vị trí trung tâm quận Cầu Giấy
19,PRJ_19,The Nelson,Đống Đa,21.015,105.811,HD Mon Holdings,Đã bàn giao,2024,True,180.0,250.0,215.0,85.0,150.0,2PN - 3PN,20000,"Tiêu chuẩn Quiet Luxury, Bể bơi nước ấm, Sảnh lễ tân","Thanh toán 50% nhận nhà ngay, còn lại trả chậm 1 năm",12,sheets.link/thenelson,2026-08-15,"Bàn giao 2024, phân khúc cao cấp trung tâm"
20,PRJ_20,Galia Hanoi,Hoàng Mai,20.965,105.855,Geleximco,Đang mở bán,2026,False,82.0,85.0,83.5,50.0,100.0,1PN - 3PN,15000,"Vườn Zen thông tầng, Bể bơi vô cực, Siêu thị",Tiến độ thanh toán 7 đợt linh hoạt; Chiết khấu 5%,18,sheets.link/galia-hn,2026-08-18,Cửa ngõ phía Nam Hà Nội
21,PRJ_21,Masteri Waterfront,Gia Lâm,20.993,105.938,Masterise Homes,Đã bàn giao,2024,True,55.0,70.0,62.5,25.0,79.0,Studio - 3PN,22700,"Bể bơi tầng thượng view biển hồ, Lounge dưới nước","Vay vốn ngân hàng 70-80%, vào ở ngay",0,sheets.link/m-waterfront,2026-08-20,"Bàn giao 2023 - 2024, trực diện biển hồ 24.5ha"
22,PRJ_22,Vinhomes Ocean Park 1,Gia Lâm,20.995,105.94,Vinhomes (Vingroup),Đã bàn giao,2022,True,40.0,55.0,47.5,28.0,90.0,Studio - 3PN,8800,"Biển hồ cát trắng, Vinschool, Vinmec, Vincom Mega Mall",Sổ đỏ trao tay; Vay chuyển nhượng lãi suất cố định,0,sheets.link/vh-op1,2026-08-21,Đã bàn giao hoàn chỉnh đại đô thị
23,PRJ_23,Mipec Rubik 360,Cầu Giấy,21.037,105.787,MIPEC,Đã bàn giao,2022,True,105.0,128.0,116.5,53.0,125.0,2PN - 4PN,14000,"10 Skygarden, TTTM, Bể bơi 4 mùa, Trường mầm non","Chuyển nhượng sang tên trực tiếp, sẵn sổ hồng",0,sheets.link/rubik360,2026-08-16,"Đã có sổ hồng, trung tâm Cầu Giấy"
24,PRJ_24,Anland Lakeview,Hà Đông,20.975,105.751,Nam Cường Group,Đã bàn giao,2021,True,60.0,75.0,67.5,57.0,109.0,2PN - 3PN,10000,"Công viên thiên văn học, Bể bơi, Hồ điều hòa",Thanh toán 100% nhận sổ; Hỗ trợ vay bank 70%,0,sheets.link/anland-lv,2026-08-11,"Đã có sổ hồng, kế bên Aeon Mall Hà Đông"
25,PRJ_25,Moonlight 1 (An Lạc),Hoài Đức,21.031,105.733,An Lạc Group,Đã bàn giao,2024,True,68.0,89.0,78.5,66.0,95.0,2PN - 3PN,13000,"Bể bơi resort, Công viên âm nhạc, Vườn dạo bộ",Đã bàn giao quỹ căn mới; HTLS 0% trong 18 tháng,18,sheets.link/moonlight1,2026-08-19,Khu đô thị An Lạc Green Symphony
26,PRJ_26,Goldmark City,Bắc Từ Liêm,21.0398,105.7665,TNR Holdings / Việt Hân,Đã bàn giao,2019,True,50.0,70.0,60.0,94.0,160.0,2PN - 4PN,13000,"Trường liên cấp, Quảng trường Sapphire/Ruby, Bể bơi",Mua bán thứ cấp; Hỗ trợ thủ tục vay thế chấp,0,sheets.link/goldmark,2026-08-14,"Đã có sổ hồng, mật độ cư dân cao"
27,PRJ_27,BRG Diamond Residence,Thanh Xuân,21.002,105.801,BRG Group,Đã bàn giao,2023,True,80.0,100.0,90.0,61.0,200.0,2PN - 4PN,15000,"Dịch vụ Valet Parking, TTTM, Bể bơi ngoài trời",Nhận nhà ngay; Chiết khấu thanh toán sớm 6-8%,0,sheets.link/brg-diamond,2026-08-17,Vị trí mặt đường Lê Văn Lương
